"PROPRIEDADE PALAVRAS"
"1. [Verbo] {exagerar, exceder, quinta-essenciar, rebuscar, refinar, requintar}"
"2. [Verbo] {ababalhar, babar, escumar, espumar}"
"3. [Verbo] {ababalhar, sujar}"
"69. [Verbo] {alongar-se, estender-se, estirar-se}"
"70. [Verbo] {dobrar-se, enrolar-se} <1369>"
"71. [Verbo] {distender, espalhar, estender}"
"72. [Verbo] {alargar, larguear} <3462>"
"73. [Verbo] {alquebrar, aquebrantar, cansar, debilitar, deprimir, derrear, enfraquecer, extenuar, prostrar, quebrantar}"
"74. [Verbo] {acurvar, alquebrar, curvar, prostrar, vergar}"
"75. [Verbo] {abaixar, baixar} <3301>"
"76. [Verbo] {acrescentar, aumentar, elevar}"
"77. [Verbo] {altear, aumentar, avantajar, avultar, crescer, subir} <3467>"
"78. [Verbo] {elevar, promover}"
"79. [Verbo] {erguer, sobrelevar}"
"80. [Verbo] {alevantar-se, levantar-se, reabilitar-se, reerguer-se}"
"81. [Verbo] {alvitrar, aventar, lembrar, levantar, propor, sugerir, suscitar}"
"82. [Verbo] {recolher, retirar, sacar, tirar, tomar}"
"83. [Verbo] {encerrar, terminar}"
"84. [Verbo] {alevantar-se, desencadear-se}"
"85. [Verbo] {acrescentar, agigantar, ampliar, aumentar, avultar, engordar, engrandecer} <3469>"
"86. [Verbo] {ascender, avultar, chegar, montar, subir} <3120>"
"87. [Verbo] {arborizar} <1482>"
""
""
"90. [Verbo] {baratinar-se, desacomodar-se, desarranjar-se, perturbar-se, transtornar-se}"
""
"92. [Verbo] {afobar-se, atarantar-se, atrapalhar-se, perturbar-se}"
"93. [Verbo] {adulterar-se, alterar-se, contrafazer-se, falsificar-se, sofisticar-se}"
"94. [Verbo] {contrafazer-se, reprimir-se}"
"95. [Verbo] {falsificar}"
"96. [Verbo] {arguciar, sofismar, sofisticar}"
"97. [Verbo] {desviar, mudar}"
"98. [Verbo] {discrepar, variar}"
"99. [Verbo] {desestimular, desmotivar} <4077>"
"100. [Verbo] {animar, estimular, incentivar} <3015>"
"101. [Verbo] {afear, afeiar, desfear, desfigurar, deturpar, enfear} <102>"
"102. [Verbo] {embelezar} <101>"
"103. [Verbo] {argumentar, concluir, deduzir}"
""
"105. [Verbo] {alugar, locar}"
"106. [Verbo] {arrepiar, arrupiar, estremecer, horripilar, horrorizar}"
"107. [Verbo] {manear, manejar, manusear, menear, tratar}"
"108. [Verbo] {arrecear, recear, respeitar, temer, tremer}"
"109. [Verbo] {arrecear, arrecear-se, recear-se, temer-se, tremer-se}"
"110. [Verbo] {aclarar-se, alumbrar-se, alumiar-se, esclarecer-se, iluminar-se} <3602>"
"111. [Verbo] {alvejar, mirar}"
"112. [Verbo] {alvejar, atingir}"
"113. [Verbo] {adormecer, arrefecer, arrefentar, esfriar, refecer}"
"114. [Verbo] {adotar, eleger, escolher, preferir, tomar}"
"115. [Verbo] {adotar, aprovar, outorgar}"
"116. [Verbo] {aceitar, admitir, adotar, receber, reconhecer, tomar} <2733>"
"117. [Verbo] {apreender, capturar, tomar}"
"118. [Verbo] {apreender, conquistar, tomar}"
"119. [Verbo] {empregar, gastar, tomar, usar, utilizar}"
"120. [Verbo] {comer, tomar}"
"121. [Verbo] {seguir, tomar}"
"122. [Verbo] {avaliar, calcular, medir, tomar}"
""
"124. [Verbo] {anteceder, antepassar, preceder} <2490>"
"125. [Verbo] {conceder, deixar, facilitar, facultar, outorgar, permitir, possibilitar}"
"126. [Verbo] {confessar-se, outorgar-se, reconhecer-se}"
"127. [Verbo] {aforar-se, apropriar-se, arrogar-se, atribuir-se, avocar-se}"
"128. [Verbo] {admitir, consentir, permitir, tolerar}"
""
"130. [Verbo] {abonar, aprovar, confirmar} <3127>"
"131. [Verbo] {abonar, qualificar}"
"132. [Verbo] {abonar-se, gabar-se, orgulhar-se}"
"133. [Verbo] {abonar-se, apadrinhar-se, autorizar-se}"
"134. [Verbo] {acusar, confessar, declarar, revelar}"
"135. [Verbo] {admitir, confessar, declarar, reconhecer}"
"136. [Verbo] {confessar-se, declarar-se, reconhecer-se}"
"137. [Verbo] {examinar, explorar, observar, reconhecer}"
"138. [Verbo] {informar, instruir}"
"139. [Verbo] {adscrever-se, adstringir-se, limitar-se, reduzir-se, restringir-se}"
""
"141. [Verbo] {atrair, converter, reduzir}"
"142. [Verbo] {acondimentar, adubar, assazoar, assazonar, condimentar, sazonar, temperar} <1539>"
"143. [Verbo] {adubar, estercar, estrumar}"
"144. [Verbo] {defumar, incensar, perfumar, turibular, turiferar}"
"145. [Verbo] {adunar, subordinar}"
"146. [Verbo] {ardejar, arder, escaldar, queimar}"
"147. [Verbo] {fundir-se, queimar-se}"
"148. [Verbo] {atirar, disparar, queimar, tirar}"
"149. [Verbo] {amelindrar-se, irritar-se, melindrar-se, queimar-se, zangar-se}"
"150. [Verbo] {acirrar-se, esquentar-se}"
"151. [Verbo] {aviltar-se, rebaixar-se} <3641>"
"152. [Verbo] {desajustar, desregular} <3246>"
"153. [Verbo] {acomodar-se, ajustar-se, chegar-se, conformar-se}"
"154. [Verbo] {comerciar, contratar, negociar, tratar} <1487>"
"155. [Verbo] {calhar, encaixar, encaixar-se}"
"156. [Verbo] {bater, coincidir, combinar, concordar}"
"157. [Verbo] {inscrever-se, matricular-se}"
"158. [Verbo] {assentar, sentar}"
"159. [Verbo] {abancar-se, assentar-se, sentar-se}"
"160. [Verbo] {assentar, determinar, estipular, marcar}"
"161. [Verbo] {ajustar-se, assentar}"
"162. [Verbo] {adstringir, subjugar, submeter}"
"163. [Verbo] {adverbar, anotar, averbar, registar, registrar} <1187>"
"164. [Verbo] {apoiar, defender, propugnar} <3638>"
"165. [Verbo] {agitar-se, bater-se, combater-se, debater-se}"
"166. [Verbo] {admoestar, advertir, amoestar, avisar}"
"167. [Verbo] {apetitar, apimentar, atentar, estimular, excitar, tentar}"
"168. [Verbo] {atender, considerar, examinar, observar} <1240>"
"169. [Verbo] {minutar, notar, rascunhar}"
"170. [Verbo] {cronometrar, minutar}"
"171. [Verbo] {estranhar, notar}"
"172. [Verbo] {espiar-se, observar-se, vigiar-se}"
"173. [Verbo] {observar, olhar, reparar}"
"174. [Verbo] {assistir, presenciar, testemunhar, ver, verificar}"
"175. [Verbo] {conhecer, ver}"
"176. [Verbo] {ler, ver}"
"177. [Verbo] {assistir, examinar, ver}"
""
"179. [Verbo] {compreender-se, entender-se, perceber-se, reconhecer-se, ver-se}"
"180. [Verbo] {amparar, auxiliar, defender, proteger, socorrer} <1108>"
"181. [Verbo] {acautelar-se, adargar-se, afortalezar-se, anteparar-se, defender-se, proteger-se, refugiar-se, resguardar-se, velar-se}"
"182. [Verbo] {apetrechar-se, armar-se, equipar-se, petrechar-se, premunir-se, preparar-se, prover-se}"
"183. [Verbo] {preparar, prevenir}"
"184. [Verbo] {dispor, influenciar, prevenir}"
"185. [Verbo] {advogar, interceder}"
"186. [Verbo] {defender-se, resistir}"
"187. [Verbo] {edificar, instruir, sustentar}"
"188. [Verbo] {desnutrir-se} <2183>"
"189. [Verbo] {adminicular, ajudar, auxiliar, sustentar}"
"190. [Verbo] {afaimar, afomear, esfaimar, esfomear} <2519>"
"191. [Verbo] {aclamar-se, eleger-se, proclamar-se}"
"192. [Verbo] {afamar, celebrizar, notabilizar}"
"193. [Verbo] {afamilhar-se, afamiliar-se, casar-se}"
"194. [Verbo] {afainar-se, afanar-se, azafamar-se}"
""
"196. [Verbo] {esquivar-se, furtar-se, roubar-se}"
"197. [Verbo] {laborar, labutar, levar, suportar, viver}"
"198. [Verbo] {academiar, academicizar}"
"199. [Verbo] {acarrear, acarretar, carrear}"
"200. [Verbo] {ocasionar-se, originar-se}"
"201. [Verbo] {acumular-se, ajuntar-se, amontoar-se}"
"202. [Verbo] {acrescentar-se, acrescer-se, adicionar-se, ajuntar-se, aumentar-se}"
"203. [Verbo] {cumprir, preencher, realizar}"
"204. [Verbo] {completar, cumprir}"
"205. [Verbo] {acondicionar, arrecadar, guardar, preservar}"
"206. [Verbo] {conservar, guardar, manter, reter, segurar}"
"207. [Verbo] {cumprir, guardar, praticar}"
"208. [Verbo] {abster-se, guardar-se}"
"209. [Verbo] {esperar, guardar-se, reservar-se}"
"210. [Verbo] {deixar, poupar, respeitar}"
"211. [Verbo] {admitir, aturar, respeitar, suportar}"
"212. [Verbo] {obedecer, render-se}"
"213. [Verbo] {acavalar-se, amontoar-se, sobrepor-se, superpor-se}"
"214. [Verbo] {acerar, avigorar, azeirar, azerar, robustecer}"
"215. [Verbo] {aceder, conformar-se}"
"216. [Verbo] {adicionar, somar} <3466>"
"217. [Verbo] {somar, totalizar}"
"218. [Verbo] {aprovar, assentir, permitir}"
"219. [Verbo] {intransigir} <3657>"
"220. [Verbo] {abaixar, baixar, descer, pender} <221>"
"221. [Verbo] {alevantar} <220>"
"222. [Verbo] {desigualar, desnivelar} <3275>"
"223. [Verbo] {abaixar, encaminhar-se}"
"224. [Verbo] {decair, descer}"
"225. [Verbo] {apanhar, embarcar, pegar, tomar} <2532>"
"226. [Verbo] {abaixar, baixar, baixar-se, descer} <221>"
"227. [Verbo] {abaixar-se, baixar-se, inclinar-se}"
""
"229. [Verbo] {abalar-se, ceder, mover-se}"
"230. [Verbo] {aceitar} <2734>"
"231. [Verbo] {estimar-se, prezar-se} <1521>"
"232. [Verbo] {digerir, gastar}"
"233. [Verbo] {agitar, propor, suscitar, ventilar}"
"234. [Verbo] {ocupar-se, preocupar-se}"
"235. [Verbo] {abalar-se, demover-se, dispor-se}"
"236. [Verbo] {assaltar, assaltear, assediar}"
"237. [Verbo] {atacar, iniciar}"
"238. [Verbo] {acusar, agredir, atacar, hostilizar} <361>"
"239. [Verbo] {agredir, atacar} <1955>"
""
""
""
"243. [Verbo] {empossar-se, investir-se}"
"244. [Verbo] {empossar, investir}"
"245. [Verbo] {afastar-se, arredar, arredar-se, recuar}"
"246. [Verbo] {ferrar, ferretear, marcar}"
"247. [Verbo] {aprazar, assinar}"
"248. [Verbo] {abalofar-se, afofar-se}"
"249. [Verbo] {abalroar-se, balroar-se, chocar-se, colidir-se, embater-se, encontrar-se, tocar-se}"
"250. [Verbo] {embater-se, esbarrar-se}"
"251. [Verbo] {abanar, abanicar, refrescar, ventilar}"
"252. [Verbo] {abanar-se, abanicar-se, refrescar-se, ventilar-se}"
"253. [Verbo] {mover, saracotear}"
"254. [Verbo] {abandonar, abjurar, abnegar, desistir, renunciar}"
"255. [Verbo] {abandonar, deixar, entregar}"
"256. [Verbo] {abandonar-se, entregar-se, render-se}"
"257. [Verbo] {abjurar, apostasiar, apostatar, arrenegar, perjurar, renegar, renunciar}"
"258. [Verbo] {desertar, fugir, retirar-se}"
"259. [Verbo] {deixar, pospor}"
"260. [Verbo] {dar, deixar, produzir}"
"261. [Verbo] {constituir, deixar, instituir, nomear}"
"262. [Verbo] {deixar, separar-se}"
"263. [Verbo] {consentir, deixar, permitir} <973>"
"264. [Verbo] {deixar, esperar}"
"265. [Verbo] {largar, retirar-se}"
"266. [Verbo] {cassar, privar, retirar}"
"267. [Verbo] {arrear, mobilhar, mobiliar} <1479>"
"268. [Verbo] {largar, libertar}"
"269. [Verbo] {atorar, ir-se, largar, partir, torar}"
""
"271. [Verbo] {deitar-se, largar-se}"
"272. [Verbo] {abarbar}"
"273. [Verbo] {abarbar, sobrecarregar}"
"274. [Verbo] {abastonar-se, apoiar-se, arrimar-se, escorar-se, firmar-se} <1171>"
"275. [Verbo] {espionar, sondar}"
"276. [Verbo] {abemolar-se, adamar-se, adengar-se, adocicar-se, afetar-se, amulherar-se, amulherengar-se, efeminar-se, efeminizar-se}"
"277. [Verbo] {abestalhar-se, bestificar-se}"
"278. [Verbo] {argamassar}"
"279. [Verbo] {cimentar-se, consolidar-se, firmar-se}"
"280. [Verbo] {abafar, afogar, asfixiar, sufocar}"
"281. [Verbo] {restabelecer, restaurar, validar} <2635>"
"282. [Verbo] {repatriar} <3356>"
"283. [Verbo] {ablocar, alugar, arrendar}"
"284. [Verbo] {arrendar, rendar, rendilhar}"
""
"286. [Verbo] {deglutir, engolir, ingerir}"
"287. [Verbo] {acreditar, engolir, tragar} <860>"
"288. [Verbo] {expirar} <403>"
"289. [Verbo] {desacreditar-se, difamar-se, infamar-se}"
"290. [Verbo] {boiar, comer}"
"291. [Verbo] {abolachar, aboleimar, achatar, apalmar, espalmar}"
"292. [Verbo] {eliminar-se, matar-se, suicidar-se}"
"293. [Verbo] {condenar, proscrever, sentenciar} <28>"
"294. [Verbo] {desinchar-se, esvaziar-se} <3633>"
"295. [Verbo] {amar, copular}"
"296. [Verbo] {refluir, vazar}"
"297. [Verbo] {retirar-se, sair, vazar} <3753>"
"298. [Verbo] {arrancar, vazar}"
"299. [Verbo] {abordar, tratar, versar}"
"300. [Verbo] {curar, medicar, tratar}"
"301. [Verbo] {cuidar-se, medicar-se, tratar-se}"
"302. [Verbo] {desnutrir} <2429>"
"303. [Verbo] {praticar, tratar, usar}"
"304. [Verbo] {alcunhar, chamar, tratar}"
"305. [Verbo] {compulsar, estudar, versar}"
"306. [Verbo] {considerar, pesar, ponderar, versar}"
"307. [Verbo] {abrancar, embrancar}"
"308. [Verbo] {excluir} <3118>"
"309. [Verbo] {abranger-se, compreender-se, encerrar-se, incluir-se} <723>"
"310. [Verbo] {alongar, prolongar} <3464>"
"311. [Verbo] {desajustar-se} <4060>"
"312. [Verbo] {arranjar-se, ataviar-se, preparar-se}"
"313. [Verbo] {arrumar, estivar}"
"314. [Verbo] {desabituar-se, desacostumar-se} <3039>"
"315. [Verbo] {aconchegar, ajeitar, compor, conchegar} <316>"
"316. [Verbo] {desajeitar, descompor} <315>"
"317. [Verbo] {acondicionar, condicionar, regular}"
"318. [Verbo] {desapropriar-se} <2507>"
"319. [Verbo] {desacelerar} <3128>"
"320. [Verbo] {esquivar, eximir, poupar, subtrair}"
"321. [Verbo] {esquivar-se, eximir-se, poupar-se, subtrair-se}"
"322. [Verbo] {aconfradar, aparceirar, emparceirar, irmanar} <1276>"
"323. [Verbo] {abandear, aconfradar}"
"324. [Verbo] {lembrar, recomendar}"
"325. [Verbo] {ensinar, indicar}"
"326. [Verbo] {acorrentar-se, algemar-se, atar-se, obrigar-se, prender-se, submeter-se, sujeitar-se}"
""
"328. [Verbo] {coordenar-se, encadear-se, ligar-se}"
"329. [Verbo] {descarregar, desobstruir, libertar}"
"330. [Verbo] {premiar} <2202>"
"331. [Verbo] {acostar, aproximar, colar, coser, encostar, unir}"
"332. [Verbo] {acostar, anexar, juntar}"
"333. [Verbo] {cerrar, encostar, fechar}"
"334. [Verbo] {abandonar, aposentar, encostar}"
"335. [Verbo] {articular-se, associar-se, juntar-se, unir-se}"
"336. [Verbo] {acotar, avaliar, calcular, cotar, estimar}"
"337. [Verbo] {desabrigar, desacoitar, desagasalhar} <3006>"
"338. [Verbo] {acovar, aterrar, cravar, encovar, enterrar, sepultar, soterrar, subterrar} <1375>"
"339. [Verbo] {enterrar, isolar}"
"340. [Verbo] {cravar-se, fixar-se}"
"341. [Verbo] {afixar, firmar, fixar, pregar, prender, segurar} <1114>"
"342. [Verbo] {aprazar, determinar, marcar}"
"343. [Verbo] {apostolar, apostolizar, evangelizar, pregar}"
"344. [Verbo] {preconizar, pregar}"
"345. [Verbo] {acreditar, confiar, crer, fiar} <346>"
"346. [Verbo] {desconfiar, descrer, duvidar} <345>"
"347. [Verbo] {estirar, fiar, trefilar}"
"348. [Verbo] {criminar-se, incriminar-se, inculpar-se}"
"349. [Verbo] {acidificar, acrimoniar, azedar}"
"350. [Verbo] {acendrar, acinzentar}"
"351. [Verbo] {apurar, calcular, contar}"
"352. [Verbo] {purificar, santificar}"
"353. [Verbo] {exagerar-se, exceder-se, requintar-se}"
"354. [Verbo] {acometer, afetar, contagiar, contaminar}"
"355. [Verbo] {acudir, atender, obedecer}"
"356. [Verbo] {divergir} <2743>"
"357. [Verbo] {atender, deferir} <3547>"
"358. [Verbo] {atender, despachar, servir}"
"359. [Verbo] {condizer, responder}"
"360. [Verbo] {contrapor-se, opor-se, responder}"
"361. [Verbo] {defender} <238>"
""
"363. [Verbo] {aflorar, pairar}"
"364. [Verbo] {enfezar-se, engrossar, irritar-se}"
"365. [Verbo] {copiar, ler}"
"366. [Verbo] {carregar, pender, tender}"
"367. [Verbo] {aderir, ajustar-se, colar}"
"368. [Verbo] {afetuar-se, grudar-se}"
"369. [Verbo] {adiantar-se, avantajar-se, exceder-se}"
"370. [Verbo] {adiantar, compensar, resolver, servir, valer}"
"371. [Verbo] {adiantar-se, antecipar-se, precipitar-se}"
"372. [Verbo] {abonar-se, adinheirar-se, endinheirar-se}"
"373. [Verbo] {adjetivar, qualificar}"
"374. [Verbo] {chamar-se, classificar-se, qualificar-se}"
"375. [Verbo] {conjurar, evocar, invocar}"
"376. [Verbo] {adjutorar, assessorar, assistir, auxiliar}"
"377. [Verbo] {administrar, aplicar, ministrar}"
"378. [Verbo] {administrar, governar, reger}"
"379. [Verbo] {comandar, conduzir, dirigir, reger}"
"380. [Verbo] {reger, subordinar}"
"381. [Verbo] {acionar, comandar, manipular, manobrar, operar}"
"382. [Verbo] {adnumerar, enumerar, enunciar, numerar}"
"383. [Verbo] {adnumerar, contar, enumerar}"
"384. [Verbo] {contar, incluir, numerar}"
"385. [Verbo] {adoecer, adoentar}"
"386. [Verbo] {desadorar} <2596>"
"387. [Verbo] {aduanar, alfandegar}"
"388. [Verbo] {desmoronar-se, esbarrondar-se, esboroar-se, esfarelar-se, esfarinhar-se}"
"389. [Verbo] {compor, constituir, formar}"
"390. [Verbo] {diplomar, formar}"
"391. [Verbo] {diplomar-se, formar-se}"
"392. [Verbo] {deformar-se} <3863>"
"393. [Verbo] {aferir, afilar}"
"394. [Verbo] {afermentar, fermentar, levedar}"
"395. [Verbo] {aferrar, segurar}"
"396. [Verbo] {aferrar, ancorar, aportar, atracar} <1113>"
"397. [Verbo] {largar-se} <2896>"
"398. [Verbo] {aportar, desembarcar}"
"399. [Verbo] {cortar-se, ferir-se}"
"400. [Verbo] {ferir, quebrar, romper}"
"401. [Verbo] {morder, picar}"
""
"403. [Verbo] {aflar, inspirar} <288>"
"404. [Verbo] {bafejar, inspirar, transmitir}"
"405. [Verbo] {assoprar, soprar}"
"406. [Verbo] {afleumar, apachorrar}"
"407. [Verbo] {afleumar-se, apachorrar-se}"
"408. [Verbo] {cavar, revolver}"
"409. [Verbo] {revirar, revolver}"
"410. [Verbo] {girar, revolver}"
"411. [Verbo] {antegostar, antegozar, prelibar}"
""
"413. [Verbo] {esgoelar-se, goelar-se}"
"414. [Verbo] {escravizar} <2931>"
"415. [Verbo] {escravizar-se} <2642>"
"416. [Verbo] {arrancar, puxar, sacar, tirar} <3933>"
"417. [Verbo] {atrair, chamar, tirar}"
""
"419. [Verbo] {aproveitar, apurar, escolher, tirar}"
"420. [Verbo] {desviar, tirar}"
"421. [Verbo] {reproduzir, retratar, tirar}"
"422. [Verbo] {arrecadar, cobrar, pedir, tirar}"
"423. [Verbo] {extrair, produzir, tirar}"
"424. [Verbo] {excetuar-se, excluir-se, isentar-se} <2789>"
"425. [Verbo] {afortunar-se, bem-aventurar-se, felicitar-se}"
"426. [Verbo] {congratular, cumprimentar, felicitar, parabenizar}"
"427. [Verbo] {aplaudir-se, congratular-se, felicitar-se, gratular}"
"428. [Verbo] {aliviar, reanimar, refrescar, restaurar}"
""
"430. [Verbo] {afretar, alugar, fretar}"
"431. [Verbo] {abrasar, acender, atear} <2145>"
"432. [Verbo] {alevantar-se, levantar-se} <3511>"
"433. [Verbo] {agadanhar-se, agafanhar-se, agatanhar-se, arranhar-se}"
"434. [Verbo] {agaiolar, engaiolar} <1332>"
"435. [Verbo] {agarrar-se, apegar-se} <597>"
""
""
"438. [Verbo] {apanhar, buscar, pegar}"
"439. [Verbo] {abandidar-se, agatunar-se}"
"440. [Verbo] {agenciar, contratar, recrutar}"
"441. [Verbo] {agiotar, especular, rebater}"
"442. [Verbo] {agradar-se, enamorar-se, encantar-se, namorar-se}"
"443. [Verbo] {cumprir-se, realizar-se, satisfazer-se}"
"444. [Verbo] {enquadrar-se, perfilar-se, quadrar-se}"
"445. [Verbo] {desinteressar} <2701>"
"446. [Verbo] {agradecer, gratificar, gratular} <1119>"
"447. [Verbo] {agravar, sobrecarregar}"
"448. [Verbo] {afetar-se, lesar-se, ofender-se, prejudicar-se}"
"449. [Verbo] {ofender, pecar}"
"450. [Verbo] {agrumelar-se, agrumular-se, coagular-se, coalhar-se}"
"451. [Verbo] {solidar-se, solidificar-se} <3312>"
"452. [Verbo] {banhar, molhar}"
"453. [Verbo] {irrigar, regar}"
"454. [Verbo] {empanar, velar}"
""
"456. [Verbo] {ajarretar, impossibilitar, jarretar} <1833>"
"457. [Verbo] {castrar-se, mutilar-se}"
"458. [Verbo] {ajaular, enjaular}"
"459. [Verbo] {ecarcerar-se, enclausurar-se, enjaular-se, prender-se, trancafiar-se}"
"460. [Verbo] {ajoelhar, genuflectir, genufletir}"
"461. [Verbo] {ajoelhar-se, genuflectir-se, genufletir-se}"
"462. [Verbo] {amarrar, atar} <1252>"
"463. [Verbo] {alagar, anaguar, inundar, submergir} <1125>"
"464. [Verbo] {alagar-se, inundar-se}"
"465. [Verbo] {banhar, inundar, molhar, umedecer}"
"466. [Verbo] {alambrar, aramar}"
"467. [Verbo] {alancear, lancear}"
"468. [Verbo] {adminicular, ministrar, propinar}"
"469. [Verbo] {alargar-se, ampliar-se, aumentar-se, desenvolver-se}"
"470. [Verbo] {alargar-se, dilatar-se, distender-se, expandir-se} <957>"
"471. [Verbo] {sobressaltar, transpor}"
"472. [Verbo] {acamar, deitar}"
"473. [Verbo] {alcalinar, alcalinizar, alcalizar}"
""
"475. [Verbo] {aparecer, chegar, vir} <1501>"
"476. [Verbo] {arquear, arquejar}"
""
"478. [Verbo] {aleitar, amamentar, lactar}"
"479. [Verbo] {lactar, mamar}"
"480. [Verbo] {alemanizar, alemoar, germanizar}"
"481. [Verbo] {alentecer, alerdar} <482>"
"482. [Verbo] {aligeirar, apressar, atropelar} <481>"
"483. [Verbo] {alevantar, levantar} <40>"
"484. [Verbo] {algazarrar, algazarrear}"
"485. [Verbo] {alhanar, facilitar}"
"486. [Verbo] {desigualar-se, desnivelar-se} <1462>"
"487. [Verbo] {resolver, sarar}"
"488. [Verbo] {aliar-se, confederar-se}"
""
"490. [Verbo] {obrigar-se, onerar-se, sujeitar-se} <2625>"
"491. [Verbo] {obrigar, onerar, sujeitar} <2773>"
"492. [Verbo] {descarregar-se, esvaziar-se} <493>"
"493. [Verbo] {carregar-se} <492>"
"494. [Verbo] {descarregar, desfechar}"
"495. [Verbo] {descarregar, incidir}"
"496. [Verbo] {alimpar, enxugar, limpar}"
"497. [Verbo] {alimpar-se, enxugar-se, limpar-se}"
"498. [Verbo] {avaliar-se, calcular-se, medir-se, tomar-se}"
"499. [Verbo] {medir, percorrer}"
"500. [Verbo] {alivelar, anivelar, graduar, nivelar, proporcionar}"
"501. [Verbo] {escandir, medir}"
"502. [Verbo] {competir, disputar, ombrear, rivalizar}"
"503. [Verbo] {alinhavar, aprontar, preparar}"
"504. [Verbo] {predispor, preparar}"
"505. [Verbo] {elaborar, preparar}"
"506. [Verbo] {aprontar, arrumar, vestir}"
"507. [Verbo] {aprontar, armar}"
"508. [Verbo] {alistar, arrolar, engajar, recrutar} <1333>"
"509. [Verbo] {alistar-se, engajar-se, recrutar-se}"
"510. [Verbo] {aspirar, cheirar}"
"511. [Verbo] {dignar-se, querer}"
""
""
""
"515. [Verbo] {amalgamar, combinar, fundir}"
"516. [Verbo] {amalgamar-se, combinar-se, fundir-se}"
"517. [Verbo] {aboletar, alojar, aquartelar} <1160>"
"518. [Verbo] {aboletar-se, alojar-se, aquartelar-se} <1161>"
"519. [Verbo] {alucinar-se, deslumbrar-se}"
"520. [Verbo] {alunar, alunissar, alunizar}"
"521. [Verbo] {raiar, riscar}"
"522. [Verbo] {amachonar, amachorrar, masculinizar}"
"523. [Verbo] {amachonar-se, amachorrar-se, masculinizar-se}"
"524. [Verbo] {amarfanhar-se, amarrotar-se, amassar}"
"525. [Verbo] {desencaracolar, desencrespar} <836>"
"526. [Verbo] {arraigar-se, arreigar-se, cravar-se, entranhar-se, introduzir-se}"
"527. [Verbo] {amontanhar, avolumar-se}"
"528. [Verbo] {moralizar} <529>"
"529. [Verbo] {amoralizar} <528>"
"530. [Verbo] {discorrer, discursar, moralizar}"
"531. [Verbo] {explorar, procurar}"
"532. [Verbo] {agravar-se, aumentar-se, intensificar-se} <3854>"
""
